from_id,to_id,direct,hops
75628,88993,False,2
75723,88993,True,1
75892,90092,True,1
75892,74094,False,2
75892,74742,False,3
75892,88993,False,4
75951,87266,True,1
76292,80684,True,1
76394,88993,True,1
76436,89953,True,1
76436,88993,False,2
76613,88993,True,1
76686,70830,True,1
76686,17311,False,2
76686,68721,False,3
76686,41300,False,4
76686,80131,False,5
76686,87266,False,6
77055,88214,True,1
77055,88993,False,2
77259,88993,True,1
77396,88214,True,1
77396,88993,False,2
77528,17311,True,1
77528,68721,False,2
77528,41300,False,3
77528,80131,False,4
77528,87266,False,5
77556,88214,True,1
77556,88993,False,2
77570,72624,True,1
77570,87266,False,2
77574,88214,True,1
77574,88993,False,2
77658,88993,True,1
77660,80684,True,1
77757,88142,True,1
77757,79812,False,2
77757,87979,False,3
77757,87266,False,4
77784,84647,True,1
77784,74094,False,2
77784,74742,False,3
77784,88993,False,4
77869,88993,True,1
77957,87979,True,1
77957,87266,False,2
77971,53551,True,1
78108,84647,True,1
78108,74094,False,2
78108,74742,False,3
78108,88993,False,4
78301,87746,True,1
78301,88142,False,2
78301,79812,False,3
78301,87979,False,4
78301,87266,False,5
78591,84647,True,1
78591,74094,False,2
78591,74742,False,3
78591,88993,False,4
79003,74094,True,1
79003,74742,False,2
79003,88993,False,3
79516,84647,True,1
79516,74094,False,2
79516,74742,False,3
79516,88993,False,4
79705,82921,True,1
79812,87979,True,1
79812,87266,False,2
80080,88993,True,1
80131,87266,True,1
80339,85960,True,1
80380,74094,True,1
80380,74742,False,2
80380,88993,False,3
80479,88214,True,1
80479,88993,False,2
80562,88993,True,1
80934,80684,True,1
81013,88993,True,1
81062,88993,True,1
81101,80684,True,1
81494,88993,True,1
81588,84647,True,1
81588,74094,False,2
81588,74742,False,3
81588,88993,False,4
81676,80684,True,1
81718,84444,True,1
81816,88214,True,1
81816,88993,False,2
82102,88214,True,1
82102,88993,False,2
82107,74094,True,1
82107,74742,False,2
82107,88993,False,3
82180,90206,True,1
82180,74094,False,2
82180,74742,False,3
82180,88993,False,4
82541,74094,True,1
82541,74742,False,2
82541,88993,False,3
82658,88993,True,1
82751,89219,True,1
82751,90321,False,2
83293,84647,True,1
83293,74094,False,2
83293,74742,False,3
83293,88993,False,4
83317,41300,True,1
83317,80131,False,2
83317,87266,False,3
83430,80684,True,1
83505,77556,True,1
83505,88214,False,2
83505,88993,False,3
83840,88214,True,1
83840,88993,False,2
83885,88214,True,1
83885,88993,False,2
83900,88214,True,1
83900,88993,False,2
83907,83840,True,1
83907,88214,False,2
83907,88993,False,3
83996,88214,True,1
83996,88993,False,2
84027,75009,True,1
84027,90206,False,2
84027,74094,False,3
84027,74742,False,4
84027,88993,False,5
84380,88993,True,1
84434,88214,True,1
84434,88993,False,2
84510,77556,True,1
84510,88214,False,2
84510,88993,False,3
84647,74094,True,1
84647,74742,False,2
84647,88993,False,3
85019,88214,True,1
85019,88993,False,2
85258,87266,True,1
86242,51705,True,1
86242,88804,False,2
86242,72581,False,3
86242,63754,False,4
87022,88214,True,1
87022,88993,False,2
87407,62101,True,1
87407,80131,False,2
87407,87266,False,3
87746,88142,True,1
87746,79812,False,2
87746,87979,False,3
87746,87266,False,4
87962,80684,True,1
87979,87266,True,1
88142,79812,True,1
88142,87979,False,2
88142,87266,False,3
88214,88993,True,1
88804,72581,True,1
88804,63754,False,2
89219,90321,True,1
89953,88993,True,1
90092,74094,True,1
90092,74742,False,2
90092,88993,False,3
90206,74094,True,1
90206,74742,False,2
90206,88993,False,3
4894,76253,True,1
7307,44967,True,1
7307,9229,False,2
7307,90276,False,3
7307,86256,False,4
53490,68004,True,1
53490,90228,False,2
9229,90276,True,1
9229,86256,False,2
11796,78518,True,1
17313,90276,True,1
17313,86256,False,2
18044,63682,True,1
18814,90228,True,1
18954,84718,True,1
21538,85529,True,1
21538,83828,False,2
21538,82393,False,3
23628,28555,True,1
23628,37171,False,2
23795,90276,True,1
23795,86256,False,2
23861,90228,True,1
24167,78518,True,1
24888,54782,True,1
24888,90228,False,2
25542,62898,True,1
25542,87726,False,2
25612,28395,True,1
25612,90276,False,2
25612,86256,False,3
25622,33972,True,1
28395,90276,True,1
28395,86256,False,2
28555,37171,True,1
29051,90276,True,1
29051,86256,False,2
29162,56653,True,1
29162,64419,False,2
29269,84516,True,1
29407,38966,True,1
29407,25622,False,2
29407,33972,False,3
30522,88059,True,1
30522,88816,False,2
30522,85934,False,3
30522,85250,False,4
31054,89940,True,1
31054,87726,False,2
32659,90228,True,1
33818,90228,True,1
34558,82426,True,1
34753,90276,True,1
34753,86256,False,2
35123,90228,True,1
35607,90276,True,1
35607,86256,False,2
36563,79699,True,1
37762,47749,True,1
37762,59876,False,2
38660,79699,True,1
38676,55168,True,1
38676,24145,False,2
38966,25622,True,1
38966,33972,False,2
39312,50334,True,1
39312,28395,False,2
39312,90276,False,3
39312,86256,False,4
39844,53419,True,1
40089,80132,True,1
40089,88587,False,2
41041,18814,True,1
41041,90228,False,2
41111,18814,True,1
41111,90228,False,2
41146,28395,True,1
41146,90276,False,2
41146,86256,False,3
41163,25930,True,1
41369,43012,True,1
41369,90276,False,2
41369,86256,False,3
41372,78518,True,1
41866,29407,True,1
41866,38966,False,2
41866,25622,False,3
41866,33972,False,4
41966,50002,True,1
42577,28395,True,1
42577,90276,False,2
42577,86256,False,3
42822,81103,True,1
42854,90228,True,1
42979,78518,True,1
43012,90276,True,1
43012,86256,False,2
43957,84315,True,1
43957,72953,False,2
