source_gww_id,source_gdw_id,target_gww_id,target_gdw_id,season,hops,direct,window,n_years,fill_share_pct,pair_impact_pct_of_target_runoff,source_delta_storage_mcm,activity_share_pct,drawdown_share_pct,pair_impact_ratio,area_coverage_pct,runoff_coverage_pct,pair_impact_days,target_full_runoff_mcm,source_full_runoff_mcm,signed_storage_change_share_pct
21623,22796,17311,22853,winter,1,1,2001-2005,5,2.016404,17.877555,12.81558,1.983795,3.47772,0.178776,0.53248,0.514555,16.447351,66.702403,0.357776,6.280966
26992,22794,17311,22853,winter,1,1,2001-2005,5,1.139043,-14.951831,-10.90012,3.316172,33.933678,-0.149518,0.53248,0.514555,-13.755685,66.702403,0.357776,16.215826
44124,22795,17311,22853,winter,1,1,2001-2005,5,0.075791,-13.670471,-11.1242,2.873315,27.140913,-0.136705,2.021205,0.891537,-12.576833,66.702403,0.688155,9.915198
45325,22805,17311,22853,winter,1,1,2001-2005,5,6.046129,13.265411,13.5472,3.131008,6.746209,0.132654,0.97693,0.639457,12.204178,66.702403,0.460855,-13.593384
70830,10451,17311,22853,winter,1,1,2001-2005,5,57.206799,60.92693,88.8176,26.632565,44.1351,0.609269,3.318143,1.712584,56.052776,66.702403,1.28683,-23.386748
77528,6576,17311,22853,winter,1,1,2001-2005,5,50.327278,165.11081,74.5832,20.921109,21.601862,1.651108,55.96254,77.790338,151.901945,66.702403,49.795021,71.315499
64733,22804,17311,22853,winter,2,0,2001-2005,5,23.037195,67.846595,54.1956,18.340691,26.529459,0.678466,0.525348,0.20571,62.418867,66.702403,0.1598,50.542666
76686,10459,17311,22853,winter,2,0,2001-2005,5,43.698614,105.753525,58.112,17.79785,25.834459,1.057535,7.79976,3.387356,97.293243,66.702403,2.602001,-16.870645
23471,22818,17311,22853,winter,3,0,2001-2005,5,0.876903,0.692931,0.40616,0.209516,0.217887,0.006929,8.207418,3.541866,0.637497,66.702403,2.722231,-0.884026
68612,10457,17311,22853,winter,3,0,2001-2005,5,4.680858,14.870948,16.8836,2.712038,5.693064,0.148709,3.896252,1.632318,13.681272,66.702403,1.263319,-3.991999
47377,22814,17311,22853,winter,4,0,2001-2005,5,2.987392,14.746188,10.9902,2.081941,2.379161,0.147462,0.946313,0.427692,13.566493,66.702403,0.328742,4.456646
21623,22796,17311,22853,dry,1,1,2006-2010,5,0.280293,-3.689262,-0.7088,0.221329,0.810254,-0.036893,0.53248,0.626149,-3.320558,26.06226,0.164006,-0.295845
26992,22794,17311,22853,dry,1,1,2006-2010,5,1.225102,-22.917407,-2.1224,2.662954,38.32943,-0.229174,0.53248,0.626149,-20.625666,26.06226,0.164006,-1.4081
44124,22795,17311,22853,dry,1,1,2006-2010,5,3.168393,17.777081,4.1954,1.24104,4.983567,0.177771,2.021205,2.397557,15.998216,26.06226,0.616894,-0.83581
45325,22805,17311,22853,dry,1,1,2006-2010,5,2.044852,-210.517468,-34.9258,4.007341,23.039407,-2.105175,0.97693,1.046276,-189.465721,26.06226,0.274518,13.174032
70830,10451,17311,22853,dry,1,1,2006-2010,5,49.960687,16.274352,27.672,33.425116,14.481412,0.162744,3.318143,3.93111,14.791982,26.06226,1.014059,111.401222
77528,6576,17311,22853,dry,1,1,2006-2010,5,29.795308,-126.562435,-45.6582,18.462888,55.866124,-1.265624,55.96254,55.51945,-113.906191,26.06226,14.56364,-131.76704
64733,22804,17311,22853,dry,2,0,2006-2010,5,28.563595,-140.532862,-28.0034,15.326992,40.43515,-1.405329,0.525348,0.53798,-126.491701,26.06226,0.140642,4.855419
76686,10459,17311,22853,dry,2,0,2006-2010,5,55.045429,296.628863,58.07,14.325602,22.343441,2.966289,7.79976,8.783985,266.980907,26.06226,2.334467,95.562965
23471,22818,17311,22853,dry,3,0,2006-2010,5,0.41314,0.845072,0.01744,0.245928,0.717732,0.008451,8.207418,9.184259,0.760923,26.06226,2.439719,0.463255
68612,10457,17311,22853,dry,3,0,2006-2010,5,23.984387,-199.054934,-27.6484,7.807232,15.609256,-1.990549,3.896252,4.339199,-179.149441,26.06226,1.123841,5.036372
47377,22814,17311,22853,dry,4,0,2006-2010,5,3.134492,-65.048557,-11.301,2.273577,7.895476,-0.650486,0.946313,0.94097,-58.543701,26.06226,0.24573,3.81353
21623,22796,17311,22853,pre_monsoon,1,1,2006-2010,5,0.214596,-0.394824,-0.2764,0.267801,7.166075,-0.003948,0.53248,0.417443,-0.35929,29.710922,0.127615,-0.238784
26992,22794,17311,22853,pre_monsoon,1,1,2006-2010,5,42.979541,8.893812,2.546,0.523067,0.15277,0.088938,0.53248,0.417443,8.093369,29.710922,0.127615,-0.525702
44124,22795,17311,22853,pre_monsoon,1,1,2006-2010,5,0.355526,-2.89453,-0.986,0.768297,17.821788,-0.028945,2.021205,1.262049,-2.634022,29.710922,0.386749,-0.533329
45325,22805,17311,22853,pre_monsoon,1,1,2006-2010,5,14.412851,-29.684448,-4.6704,8.789069,8.095106,-0.296844,0.97693,0.606757,-27.012848,29.710922,0.184187,9.262837
70830,10451,17311,22853,pre_monsoon,1,1,2006-2010,5,47.046108,-548.121425,-108.0688,46.981985,74.208059,-5.481214,3.318143,2.147495,-498.790497,29.710922,0.657814,50.192993
77528,6576,17311,22853,pre_monsoon,1,1,2006-2010,5,32.981969,20.57847,4.8024,3.21392,29.321174,0.205785,55.96254,76.672164,18.726408,29.710922,22.750006,0.122247
64733,22804,17311,22853,pre_monsoon,2,0,2006-2010,5,57.279142,-35.2129,-9.4096,18.103278,31.007919,-0.352129,0.525348,0.267516,-32.043739,29.710922,0.080806,14.804332
76686,10459,17311,22853,pre_monsoon,2,0,2006-2010,5,29.633172,22.610338,25.678,17.348151,4.095257,0.226103,7.79976,4.388501,20.575408,29.710922,1.31596,22.147516
23471,22818,17311,22853,pre_monsoon,3,0,2006-2010,5,0.230711,-0.927458,-0.01398,0.19352,0.168267,-0.009275,8.207418,4.583662,-0.843987,29.710922,1.374586,0.22153
68612,10457,17311,22853,pre_monsoon,3,0,2006-2010,5,18.029595,11.682442,7.0628,3.169324,0.069301,0.116824,3.896252,2.232135,10.631022,29.710922,0.680137,4.219746
47377,22814,17311,22853,pre_monsoon,4,0,2006-2010,5,2.453498,2.039424,0.4418,0.641588,2.747093,0.020394,0.946313,0.474174,1.855876,29.710922,0.142055,0.326613
21623,22796,17311,22853,monsoon,1,1,2006-2010,5,0.148769,-0.12161,-0.3058,0.361492,5.623002,-0.001216,0.53248,0.445915,-0.111881,240.095401,1.148118,-0.130355
26992,22794,17311,22853,monsoon,1,1,2006-2010,5,,-2.397199,-2.227,1.786559,15.080107,-0.023972,0.53248,0.445915,-2.205423,240.095401,1.148118,9.672096
44124,22795,17311,22853,monsoon,1,1,2006-2010,5,0.414468,-0.380455,-0.6552,1.439672,29.694202,-0.003805,2.021205,1.131932,-0.350018,240.095401,3.038872,-1.357111
45325,22805,17311,22853,monsoon,1,1,2006-2010,5,38.805239,5.156274,18.978,13.689218,,0.051563,0.97693,0.583011,4.743772,240.095401,1.522331,13.177158
70830,10451,17311,22853,monsoon,1,1,2006-2010,5,42.898261,18.590251,50.742,29.425576,,0.185903,3.318143,1.98975,17.103031,240.095401,5.298201,40.422303
77528,6576,17311,22853,monsoon,1,1,2006-2010,5,8.102523,-6.465874,-2.3228,9.117718,25.432532,-0.064659,55.96254,76.468211,-5.948604,240.095401,177.997438,35.939897
64733,22804,17311,22853,monsoon,2,0,2006-2010,5,10.591877,-7.571098,-19.7074,9.50392,34.323162,-0.075711,0.525348,0.221821,-6.96541,240.095401,0.595089,8.392793
76686,10459,17311,22853,monsoon,2,0,2006-2010,5,15.763199,-23.25254,-74.964,23.63251,41.461539,-0.232525,7.79976,3.401848,-21.392337,240.095401,9.101962,38.745454
23471,22818,17311,22853,monsoon,3,0,2006-2010,5,1.929338,0.931815,1.03876,0.795099,,0.009318,8.207418,3.558538,0.85727,240.095401,9.522165,-3.228159
68612,10457,17311,22853,monsoon,3,0,2006-2010,5,89.53295,12.710567,18.472,9.421988,,0.127106,3.896252,1.94192,11.693722,240.095401,5.212008,-43.178695
47377,22814,17311,22853,monsoon,4,0,2006-2010,5,1.524281,-0.044085,0.329,0.826248,0.871578,-0.000441,0.946313,0.437872,-0.040558,240.095401,1.162534,1.544619
21623,22796,17311,22853,winter,1,1,2006-2010,5,0.669619,-0.543187,-2.22746,0.849504,5.279575,-0.005432,0.53248,0.544859,-0.499732,256.435744,1.405346,-0.255554
26992,22794,17311,22853,winter,1,1,2006-2010,5,20.004408,-1.122176,-4.4078,2.451183,26.46161,-0.011222,0.53248,0.544859,-1.032402,256.435744,1.405346,-3.69404
44124,22795,17311,22853,winter,1,1,2006-2010,5,0.664177,-0.713854,-2.1148,1.114998,4.20133,-0.007139,2.021205,1.933578,-0.656746,256.435744,5.066965,0.758156
45325,22805,17311,22853,winter,1,1,2006-2010,5,18.580025,0.083342,-0.7162,1.307547,11.187391,0.000833,0.97693,0.875932,0.076675,256.435744,2.352635,-1.92678
70830,10451,17311,22853,winter,1,1,2006-2010,5,57.087974,13.682734,60.12,28.618082,31.871667,0.136827,3.318143,3.205859,12.588115,256.435744,8.380997,48.645497
77528,6576,17311,22853,winter,1,1,2006-2010,5,44.269963,3.901488,4.6264,14.532238,3.077838,0.039015,55.96254,61.655572,3.589369,256.435744,153.512105,25.649118
64733,22804,17311,22853,winter,2,0,2006-2010,5,31.189918,1.10906,-1.1984,10.584441,22.783413,0.011091,0.525348,0.432051,1.020335,256.435744,1.192742,-2.514852
76686,10459,17311,22853,winter,2,0,2006-2010,5,28.541364,-19.245125,-45.708,23.487975,63.337081,-0.192451,7.79976,6.677835,-17.705515,256.435744,18.36106,12.787158
23471,22818,17311,22853,winter,3,0,2006-2010,5,2.121061,0.219528,0.37702,0.453498,,0.002195,8.207418,6.998291,0.201966,256.435744,19.260796,0.535603
68612,10457,17311,22853,winter,3,0,2006-2010,5,10.116189,-4.199772,-4.122,14.244668,29.657859,-0.041998,3.896252,3.493439,-3.863791,256.435744,9.355414,15.904696
