target_gww_id,target_gdw_id,season,window,n_years,upstream_impact_days,upstream_fill_pct_of_target_runoff,upstream_count,upstream_impact_pct_of_target_runoff,upstream_delta_storage_mcm,upstream_drawdown_pct_of_target_runoff,system_impact_pct_of_target_runoff,upstream_impact_ratio,target_full_runoff_mcm,target_delta_storage_mcm,upstream_drawdown_proxy_mcm,upstream_fill_proxy_mcm,system_delta_storage_mcm,system_impact_ratio,system_impact_days
86305,1778,monsoon,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,1899.688,0.0,138.587334,2404.733333,0.0,0.0,2404.733333,18.99688,1747.71296
86305,1778,winter,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,275.25368,0.0,64.686132,945.883333,0.0,0.0,945.883333,2.752537,253.233386
86396,1714,dry,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,-45509.868114,0.0,9.162318,-3200.84,0.0,0.0,-3200.84,-455.098681,-41095.192953
86396,1714,pre_monsoon,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,-1603.714669,0.0,45.32487,-256.72,0.0,0.0,-256.72,-16.037147,-1459.380348
86396,1714,monsoon,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,698.92851,0.0,416.333407,2328.92,0.0,0.0,2328.92,6.989285,643.014229
86396,1714,winter,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,596.854782,0.0,29.978532,250.0,0.0,0.0,250.0,5.968548,549.106399
86396,1714,dry,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,-48993.642551,0.0,7.278076,-3441.02,0.0,0.0,-3441.02,-489.936426,-44277.12217
86396,1714,pre_monsoon,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,3014.355069,0.0,53.394824,686.02,0.0,0.0,686.02,30.143551,2743.063113
86396,1714,monsoon,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,744.971945,0.0,489.972352,3227.94,0.0,0.0,3227.94,7.449719,685.37419
86396,1714,winter,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,-747.789312,0.0,58.797008,-48.88,0.0,0.0,-48.88,-7.477893,-687.966167
86396,1714,dry,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,-22237.304925,0.0,9.807852,-1856.7,0.0,0.0,-1856.7,-222.373049,-20130.808816
86396,1714,pre_monsoon,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,-47.770343,0.0,65.950258,-158.96,0.0,0.0,-158.96,-0.477703,-43.471013
86396,1714,monsoon,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,535.103742,0.0,360.581529,1818.48,0.0,0.0,1818.48,5.351037,492.295442
86396,1714,winter,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,1350.266526,0.0,28.868212,332.26,0.0,0.0,332.26,13.502665,1242.245204
86396,1714,dry,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,-42650.017806,0.0,7.789664,-2928.133333,0.0,0.0,-2928.133333,-426.500178,-38546.365278
86396,1714,pre_monsoon,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,-8579.614976,0.0,67.422396,-4250.9,0.0,0.0,-4250.9,-85.79615,-7807.449628
86396,1714,monsoon,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,2128.844227,0.0,338.901482,6516.666667,0.0,0.0,6516.666667,21.288442,1958.536689
86396,1714,winter,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,2062.517105,0.0,47.211035,800.983333,0.0,0.0,800.983333,20.625171,1897.515737
86501,1634,dry,2001-2005,5,-111.76269,1.713034,2.0,-124.189133,-1148.644,125.902167,-42.605636,-1.241891,2091.253378,849.788,1198.896,50.252,-298.856,-0.426056,-38.35347
86501,1634,pre_monsoon,2001-2005,5,0.230028,1.854833,2.0,0.252778,94.854,1.602055,-13.668434,0.002528,8609.556017,-1464.97,105.05,199.904,-1370.116,-0.136684,-12.438275
86501,1634,monsoon,2001-2005,5,-1.013451,0.744232,2.0,-1.101578,-54.11,1.84581,-3.151198,-0.011016,8204.937774,-95.032,132.854,78.744,-149.142,-0.031512,-2.899102
86501,1634,winter,2001-2005,5,80.361032,91.116831,2.0,87.348948,878.494,3.767884,159.040445,0.873489,1133.92153,874.738,45.752,924.246,1753.232,1.590404,146.31721
86501,1634,dry,2006-2010,5,-55.366495,0.0,2.0,-61.508323,-1244.18,61.508323,-36.121416,-0.615083,2122.353431,860.174,1244.18,0.0,-384.006,-0.361214,-32.516338
86501,1634,pre_monsoon,2006-2010,5,1.782336,2.487505,2.0,1.958611,185.652,0.528894,-3.059709,0.019586,9234.04816,-583.402,52.138,237.79,-397.75,-0.030597,-2.784335
86501,1634,monsoon,2006-2010,5,1.639947,2.114121,2.0,1.782551,110.768,0.33157,-8.398615,0.017826,9652.857918,-1134.266,30.38,141.148,-1023.498,-0.083986,-7.726726
86501,1634,winter,2006-2010,5,116.281054,127.910007,2.0,126.39245,1622.218,1.517557,213.571923,1.263925,1362.416938,799.762,29.53,1651.748,2421.98,2.135719,196.486169
86501,1634,dry,2011-2015,5,-49.540251,0.32469,2.0,-54.976038,-1229.392,55.300727,-64.283406,-0.54976,2220.773669,-162.628,1236.746,7.354,-1392.02,-0.642834,-57.940891
86501,1634,pre_monsoon,2011-2015,5,1.682837,2.924141,2.0,1.849272,175.758,1.074869,-11.811525,0.018493,10285.558753,-1348.098,117.158,292.916,-1172.34,-0.118115,-10.748488
86501,1634,monsoon,2011-2015,5,1.427473,2.360141,2.0,1.551601,183.816,0.80854,7.221652,0.015516,11180.203174,584.786,81.192,265.008,768.602,0.072217,6.64392
86501,1634,winter,2011-2015,5,30.517425,33.171114,2.0,33.171114,528.916,0.0,14.827185,0.331711,1622.874962,-294.918,0.0,528.916,233.998,0.148272,13.641011
86501,1634,dry,2016-2021,6,-66.268374,0.0,2.0,-73.384538,-1351.208333,73.384538,-62.162985,-0.733845,2045.2481,470.711667,1351.208333,0.0,-880.496667,-0.62163,-55.936403
86501,1634,pre_monsoon,2016-2021,6,-4.744985,3.064169,2.0,-5.21427,-474.101667,8.278439,-36.693654,-0.052143,9829.515474,-2974.703333,752.395,278.293333,-3448.805,-0.366937,-33.391225
86501,1634,monsoon,2016-2021,6,-0.612999,0.602797,2.0,-0.666303,-84.395,1.2691,-2.233824,-0.006663,9665.919671,18.836667,127.106667,42.711667,-65.558333,-0.022338,-2.055118
