target_gww_id,target_gdw_id,year,season,upstream_count,target_full_runoff_mcm,target_delta_storage_mcm,upstream_delta_storage_mcm,system_delta_storage_mcm,upstream_drawdown_proxy_mcm,upstream_fill_proxy_mcm,upstream_impact_ratio,upstream_impact_pct_of_target_runoff,upstream_impact_days,system_impact_ratio,system_impact_pct_of_target_runoff,system_impact_days,upstream_drawdown_pct_of_target_runoff,upstream_fill_pct_of_target_runoff
7201,22855,2010,winter,0,2.177729,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2011,dry,0,0.166308,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2011,pre_monsoon,0,0.474537,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2011,monsoon,0,2.359955,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2011,winter,0,1.922852,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2012,dry,0,0.109523,0.0798,0.0,0.0798,0,0,0.0,0.0,0.0,0.728613,72.861317,66.303799,0.0,0.0
7201,22855,2012,pre_monsoon,0,0.376279,0.2244,0.0,0.2244,0,0,0.0,0.0,0.0,0.596367,59.636674,54.269374,0.0,0.0
7201,22855,2012,monsoon,0,2.037575,0.2,0.0,0.2,0,0,0.0,0.0,0.0,0.098156,9.815591,9.030344,0.0,0.0
7201,22855,2012,winter,0,2.532756,0.0229,0.0,0.0229,0,0,0.0,0.0,0.0,0.009042,0.904153,0.831821,0.0,0.0
7201,22855,2013,dry,0,0.055587,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2013,pre_monsoon,0,0.705191,3.3185,0.0,3.3185,0,0,0.0,0.0,0.0,4.705819,470.58188,428.229511,0.0,0.0
7201,22855,2013,monsoon,0,4.012727,11.639,0.0,11.639,0,0,0.0,0.0,0.0,2.900521,290.052115,266.847945,0.0,0.0
7201,22855,2013,winter,0,1.666782,-2.801,0.0,-2.801,0,0,0.0,0.0,0.0,-1.680484,-168.048361,-154.604492,0.0,0.0
7201,22855,2014,dry,0,0.072035,2.0397,0.0,2.0397,0,0,0.0,0.0,0.0,28.315547,2831.554688,2548.399219,0.0,0.0
7201,22855,2014,pre_monsoon,0,0.372507,4.9484,0.0,4.9484,0,0,0.0,0.0,0.0,13.284032,1328.403182,1208.846895,0.0,0.0
7201,22855,2014,monsoon,0,2.027146,3.2666,0.0,3.2666,0,0,0.0,0.0,0.0,1.611428,161.142805,148.25138,0.0,0.0
7201,22855,2014,winter,0,0.918354,-6.2228,0.0,-6.2228,0,0,0.0,0.0,0.0,-6.776037,-677.603733,-623.395434,0.0,0.0
7201,22855,2015,dry,0,0.096759,1.7416,0.0,1.7416,0,0,0.0,0.0,0.0,17.999387,1799.938701,1619.944831,0.0,0.0
7201,22855,2015,pre_monsoon,0,0.131312,-3.295,0.0,-3.295,0,0,0.0,0.0,0.0,-25.092864,-2509.286436,-2283.450657,0.0,0.0
7201,22855,2015,monsoon,0,0.764182,-13.8014,0.0,-13.8014,0,0,0.0,0.0,0.0,-18.060351,-1806.035088,-1661.552281,0.0,0.0
7201,22855,2015,winter,0,1.211185,-28.3771,0.0,-28.3771,0,0,0.0,0.0,0.0,-23.429209,-2342.920935,-2155.487261,0.0,0.0
7201,22855,2016,dry,0,0.065308,-0.8241,0.0,-0.8241,0,0,0.0,0.0,0.0,-12.618611,-1261.861134,-1148.293632,0.0,0.0
7201,22855,2016,pre_monsoon,0,0.239544,-0.2205,0.0,-0.2205,0,0,0.0,0.0,0.0,-0.920498,-92.049784,-83.765304,0.0,0.0
7201,22855,2016,monsoon,0,1.326564,-0.586,0.0,-0.586,0,0,0.0,0.0,0.0,-0.441743,-44.174258,-40.640317,0.0,0.0
7201,22855,2016,winter,0,3.168339,-3.52,0.0,-3.52,0,0,0.0,0.0,0.0,-1.110992,-111.099239,-102.2113,0.0,0.0
7201,22855,2017,dry,0,0.246283,59.1836,0.0,59.1836,0,0,0.0,0.0,0.0,240.307041,24030.704086,21627.633678,0.0,0.0
7201,22855,2017,pre_monsoon,0,0.522175,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2017,monsoon,0,2.301762,0.6333,0.0,0.6333,0,0,0.0,0.0,0.0,0.275137,27.513705,25.312609,0.0,0.0
7201,22855,2017,winter,0,2.096286,-4.6382,0.0,-4.6382,0,0,0.0,0.0,0.0,-2.21258,-221.25799,-203.557351,0.0,0.0
7201,22855,2018,dry,0,0.21284,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2018,pre_monsoon,0,0.550897,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2018,monsoon,0,2.6253,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2018,winter,0,0.790919,-44.59405,0.0,-44.59405,0,0,0.0,0.0,0.0,-56.382557,-5638.255699,-5187.195243,0.0,0.0
7201,22855,2019,dry,0,0.062291,3.68147,0.0,3.68147,0,0,0.0,0.0,0.0,59.101096,5910.109593,5319.098633,0.0,0.0
7201,22855,2019,pre_monsoon,0,0.16735,6.7248,0.0,6.7248,0,0,0.0,0.0,0.0,40.183978,4018.397773,3656.741973,0.0,0.0
